Instrument,Life Cycle Analysis,Roundtable for Sustainable Palm Oil(RSPO) Support,Target Sustainable Palm Oil Production,"Pollution, Waste and Resource Use Research and Development",Certified Palm Oil Percent,REIT Green Building Certified Percent,Sustainable Palm Oil Production Target Year,Sustainable Palm Oil Production-Year in which Target was set,Environmental Products,Eco-Design Products,Env R&D Expenditures To Revenues in million,Environmental R&D Expenditures,Noise Reduction,Fleet Fuel Consumption,Hybrid Vehicles,Environmental Assets Under Mgt,Equator Principles,Equator Principles or Env Project Financing,Environmental Project Financing,Nuclear,Nuclear Production,Labeled Wood Percentage,Labeled Wood,Organic Products Initiatives,Product Impact Minimization,Take-back and Recycling Initiatives,Product Environmental Responsible Use,GMO Products,Agrochemical Products,Agrochemical 5 % Revenue,Animal Testing Reduction,Renewable/Clean Energy Products,Water Technologies,Sustainable Building Products,Real Estate Sustainability Certifications,Revenue from Environmental Products,Products Recovered to Recycle,Percentage of Green Products,ESG Assets Under Management
T.N,False,False,False,False,,,,,True,True,,,False,,False,False,False,,False,False,,,False,False,True,True,True,False,,False,False,False,True,False,,,,,
MTCH.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAQ.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFIV.OQ,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,False,False,False,False,,False,False,False,False,False,,,,,
LEN.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDNS.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVDA.OQ,False,False,False,False,,,,,True,True,,,False,,False,False,False,,False,False,,,False,False,True,True,True,False,,False,False,False,False,False,,55.65,,,
WELL.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLD.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST.OQ,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,False,False,False,False,,False,False,False,False,False,,,,,
MRK.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEC.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSCI.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMO.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEHC.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYB.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBM.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IQV.N,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
VRTX.OQ,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,True,True,False,False,,False,True,False,False,False,,,,,
DXCM.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEP.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOS.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLK.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HII.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVS.N,False,True,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,True,,True,True,False,,False,False,False,False,False,,,,,
PH.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSC.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWM.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAX.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUM.N,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
AXON.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBH.N,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,True,False,False,False,,,,,
TDY.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GILD.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAM.N,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,False,False,False,False,,False,False,False,False,False,,,,,
NOC.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNW.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFb.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE.N,False,False,False,False,,,,,True,False,,,True,,True,False,False,,False,False,,,False,False,True,False,True,False,,False,False,False,True,False,,,,,
HSY.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL.N,False,False,False,False,,,,,True,False,,,False,,False,False,False,False,False,False,,,False,False,,False,True,False,,False,False,True,False,False,,,,,
SLB.N,True,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,,True,True,False,,False,False,True,True,False,,,,,
AWK.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKG.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPAY.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADI.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMC.N,False,False,False,False,,,,,False,False,,,False,,False,False,False,False,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
IT.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECL.N,False,False,False,False,,,,,True,True,,,False,,False,False,False,,False,True,,,False,False,,False,True,False,,False,False,False,True,False,,66.0,,,
BXP.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED.N,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,,False,True,False,,False,False,True,False,True,True,,,,
ALLE.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTIS.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFC.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTVA.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTV.N,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,True,False,True,False,,False,False,True,False,False,,,,,
AEE.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRU.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLTR.OQ,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,True,False,True,False,,False,False,False,False,False,,,,,
CF.N,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,,False,True,False,True,True,False,False,False,False,,,,,
NEE.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLAC.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AME.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUE.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJM.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVA.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COIN.OQ,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
CMS.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPE.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDX.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGM.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUBB.N,True,False,False,False,,,,,True,True,,,False,,False,False,False,,False,False,,,False,False,True,True,True,False,,False,False,True,True,False,,,543.82793,,
ALGN.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGN.OQ,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,True,True,False,False,,False,True,False,False,False,,,,,
