Instrument,Board Conflicts of Interest,Board Effectiveness Review,Board Oversight of Health and Safety,Board Related Party Transactions,Chief Legal Officer Report to Board,Code of Conduct Non-Compliance,Code of Conduct Oversight,Compliance Head Report to Board,C-Suite Risk Oversight,Chairperson Independent,Lead Independent Director,Bonus Cap Senior Executives,CEO Claw-Back,Executive Claw-Back,Executive Compensation Risk,Code of Conduct Claims,Targets Board Diversity Percent,Bonus Cap High Paid Staff,Bonus Cap Senior Executives Percent,Targets Board Diversity - Target Set Year,Targets Board Diversity - Target Year,Median Salary Gap,Current CEO Chairman Duality,Board Functions Policy,Corporate Governance Board Committee,Nomination Board Committee,Audit Board Committee,Compensation Board Committee,Board Structure Policy,Policy Board Size,Policy Board Independence,Policy Board Diversity,Policy Board Experience,Policy Executive Compensation Performance,Policy Executive Compensation ESG Performance,Policy Executive Retention,Compensation Improvement Tools,Internal Audit Department Reporting,Succession Plan,External Consultants,Audit Committee Independence,Audit Committee Mgt Independence,Audit Committee Expertise,Audit Committee NonExecutive Members,Compensation Committee Independence,Compensation Committee Mgt Independence,Compensation Committee NonExecutive Members,Nomination Committee Independence,Nomination Committee Mgt Independence,Nomination Committee Involvement,Nomination Committee NonExecutive Members,Board Attendance,Number of Board Meetings,Board Meeting Attendance Average,Committee Meetings Attendance Average,Board Size More Ten Less Eight,Board Size,Board Background and Skills,"Board Gender Diversity, Percent","Board Specific Skills, Percent",Average Board Tenure,Non-Executive Board Members,Independent Board Members,Strictly Independent Board Members,CEO Chairman Duality,CEO Board Member,Chairman is ex-CEO,Board Member Affiliations,Board Individual Re-election,Board Member Membership Limits,Board Member Term Duration,Executive Compensation Policy,Executive Individual Compensation,Total Senior Executives Compensation,Highest Remuneration Package,CEO Compensation Link to TSR,Executive Compensation LT Objectives,Sustainability Compensation Incentives,Shareholders Approval Stock Compensation Plan,Board Member Compensation,Board Member LT Compensation Incentives,Executive Compensation Controversies,Mgt Compensation Controversies Count,Recent Mgt Compensation Controversies,"Board Cultural Diversity, Percent","Executive Members Gender Diversity, Percent",Chief Diversity Officer,Executives Cultural Diversity,Total Senior Executives Compensation To Revenues in million,Ethnic Minorities Board Percentage,Asian - Ethnic Minorities Board Percentage,Black or African American - Ethnic Minorities Board Percentage,Hispanic or Latino - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,Other - Ethnic Minorities Board Percentage
NG.L,True,True,True,True,False,True,True,True,True,True,False,True,True,True,False,152.46,,,300,,,76.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,6,100.0,99.33,2,12,True,41.6666666666667,50.0,4.08928571428571,85.7142857142857,85.7142857142857,85.7142857142857,False,True,False,2.07142857142857,True,999,3,True,False,11386000.0,8956224.6,True,False,True,True,2620762.5,0,False,,,25.0,33.3333333333333,,,525.693707004017,16.7,,16.7,,83.3,
RKT.L,True,True,True,False,False,False,True,True,True,True,False,True,True,True,False,,,,120,,,104.0,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,85.7142857142857,True,100.0,100.0,True,0.0,100.0,True,5,98.39,95.08,1,11,True,63.6363636363636,56.25,4.625,81.25,75.0,75.0,False,True,False,1.75,False,999,1,True,False,46017481.0,7265252.8012,True,False,True,True,2480329.5209,,False,,,45.4545454545455,44.4444444444444,,85.7142857142857,3247.75785164796,10.0,,,,,
WEIR.L,True,True,True,False,False,True,False,True,True,True,False,True,True,True,False,,,,200,,,61.0,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,7,100.0,100.0,0,9,True,44.4444444444444,50.0,4.64583333333333,83.3333333333333,83.3333333333333,83.3333333333333,False,True,False,1.75,True,999,1,True,False,13100000.0,5181214.72753029,True,False,True,False,1249867.6665,0,False,,,22.2222222222222,25.0,,16.6666666666667,5228.28863346105,11.0,,11.0,,89.0,
IMI.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRON.L,True,True,True,True,False,True,True,True,True,True,False,True,True,True,False,,,,200,,,1112.0,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,87.5,True,0.0,87.5,True,4,100.0,98.0,0,9,True,33.3333333333333,69.2307692307692,7.36538461538462,61.5384615384615,53.8461538461538,,False,True,False,0.692307692307692,True,999,1,True,True,212063000.0,71980787.4,True,False,True,True,1198553.8,0,False,,,,0.0,,,61148.5005767013,11.0,,,,,
HSX.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPG.L,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,,,,250,,,330.0,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,88.8889,True,True,100.0,88.8889,True,100.0,92.3076923076923,True,0.0,92.3076923076923,True,6,100.0,100.0,4,14,True,42.8571428571429,43.75,5.15,75.0,68.75,62.5,False,True,False,1.875,True,9,1,True,False,30619974.0,12700163.0,True,False,True,True,2262204.0,0,False,,,64.2857142857143,36.3636363636364,,50.0,729.01228512928,21.0,14.0,7.0,,79.0,
AUTOA.L,True,True,False,False,False,False,False,True,True,True,False,True,True,True,False,,,,200,,,26.9,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,11,96.97,97.33,0,9,True,55.5555555555556,44.4444444444444,5.88888888888889,66.6666666666667,66.6666666666667,,False,True,False,0.444444444444444,True,999,1,True,False,5964000.0,1579857.3,True,False,True,True,661048.8,0,False,,,,50.0,,,11923.2307077169,11.11,11.11,,,88.89,
AV.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENT.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
