Instrument,Corruption Due Diligence,Corruption Intermediaries Procedures,Corruption Oversight,Corruption Procedures for High Risk Operations,Corruption Risk Assessment,Corruption Training,Principles for Community Investments,Supplier Policy Animal Welfare,Corruption Fines,Lobbying Controversies,Recent Lobbying Controversies,Policy Fair Competition,Policy Bribery and Corruption,Policy Business Ethics,Policy Community Involvement,Improvement Tools Business Ethics,Whistleblower Protection,OECD Guidelines for Multinational Enterprises,Extractive Industries Transparency Initiative,Total Donations To Revenues in million,Donations Total,Political Contributions,Lobbying Contribution Amount,Employee Engagement Voluntary Work,Corporate Responsibility Awards,Product Sales at Discount to Emerging Markets,Diseases of the Developing World,"Bribery, Corruption and Fraud Controversies",Intellectual Property Controversies,Crisis Management Systems,Anti-competition Controversies,Public Health Controversies,Business Ethics Controversies,Tax Fraud Controversies,Anti-Competition Controversies Count,Critical Countries Controversies,Critical Country 1,Critical Country 2,Critical Country 3,Critical Country 4,Critical Country 5,Recent Public Health Controversies,Recent Business Ethics Controversies,Recent Tax Fraud Controversies,Recent Anti-Competition Controversy,Recent Critical Countries Controversies,Recent Intellectual Property Controversies
IHG.L,False,False,True,False,False,False,True,True,,,,True,True,True,True,True,True,True,False,281.141868512111,1300000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
BT.L,True,True,True,True,True,True,True,False,,,,True,True,True,True,True,True,False,False,,,6205.0,,True,True,False,False,True,,True,True,,,,2,,,,,,,,,,,,
MNDI.L,False,False,True,False,False,True,True,False,,,,False,True,True,True,True,True,False,False,996.725784447476,7306000,0.0,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
BATS.L,True,False,True,False,False,False,False,False,,,,True,True,True,True,True,True,False,False,541.3627533629,14770000,6044775.0,,True,True,False,False,True,1,True,True,,,1,1,1,CU,,,,,,,,,,
PSON.L,True,True,True,True,True,True,True,False,,,,True,True,True,True,True,True,True,False,129.831246597714,477000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
PCT.L,False,False,False,False,False,False,False,False,,,,False,True,False,False,False,,False,False,,,,,False,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
SPX.L,False,True,True,True,True,True,True,False,,,,True,True,True,True,False,True,False,False,572.209114615671,921600,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
PSN.L,False,False,True,False,False,True,True,False,,,,False,True,True,True,False,True,False,False,264.676186355113,734000,,,True,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
RIO.L,True,True,True,True,False,True,False,False,,,,True,True,True,True,True,True,True,True,1880.05403304898,101600000,0.0,,True,False,False,False,True,,True,False,1,2,,,,,,,,,,,,,,
CCH.L,True,True,True,False,True,True,True,False,0,,,True,True,True,True,True,True,False,False,981.932443047918,10000000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
ALWA.L,False,False,False,False,False,False,False,False,,,,False,False,False,True,False,,False,False,,50200,,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
RR.L,True,True,True,True,False,True,True,False,,,,True,True,True,True,True,True,False,False,377.218934911243,5100000,49055.8,,True,False,False,False,True,1,True,False,,,1,,,,,,,,,,,,,
SN.L,True,True,False,False,True,True,True,False,0,,,True,True,True,True,True,True,True,False,3438.15915627996,17930000,,,True,True,True,False,False,,True,False,,,,,,,,,,,,,,,,
SSE.L,False,False,True,False,False,True,True,False,,,,True,True,True,True,True,True,False,False,1301.08501196534,11200000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
SMT.L,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,,False,False,,,,,False,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
KGF.L,True,True,False,False,True,True,True,False,,,,True,True,True,True,True,True,False,False,300.917848744595,3967000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
LLOY.L,True,True,False,True,True,True,True,False,,,,True,True,True,True,True,True,True,False,2324.43550556303,57034674,,,True,True,False,False,True,,True,False,,1,,,,,,,,,,,,,,
NWG.L,True,True,True,True,True,True,True,False,,,,False,True,True,True,True,True,True,False,900.900900900901,14100000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
SDR.L,False,False,False,False,False,False,True,False,0,,,False,True,False,True,False,True,False,False,1798.25016426324,5200000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
NXT.L,False,False,False,False,False,False,True,True,,,,False,True,True,True,False,False,False,False,622.581551698048,2880000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
ITRK.L,True,True,False,False,True,True,True,False,,,,True,True,True,True,True,True,False,False,,,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
BTRW.L,False,True,True,True,False,True,False,False,,,,True,True,True,True,True,True,False,False,1183.89897395422,6300000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
SHEL.L,True,True,True,False,True,True,True,False,,,,True,True,True,True,True,True,True,True,625.355315520182,198000000,0.0,,True,True,False,False,False,,True,False,3,,,,,,,,,,,,,,,
GLEN.L,True,True,True,True,True,True,True,False,,,,True,True,True,True,True,True,True,True,351.584474029627,90000000,0.0,,True,False,False,False,True,,True,True,,7,,1,,,,,,,,,,,,
VOD.L,True,True,False,False,True,False,True,False,,,,True,True,True,True,True,True,False,False,94.569035395839,3500000,0.0,,True,True,False,False,True,,True,True,,,1,1,,,,,,,,,,,,
BARC.L,False,False,False,False,False,False,True,False,,,,True,True,True,True,True,True,True,False,261.114546828833,7600000,60159.0,,True,True,False,False,True,,True,True,,,1,1,,,,,,,,,,,,
FCIT.L,False,False,False,False,False,False,False,False,,,,False,False,False,True,False,False,False,False,,,,,False,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
UTG.L,True,True,True,False,False,False,True,False,,,,False,True,True,True,False,True,False,False,7713.07365985345,2000000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
DPLM.L,False,False,True,False,False,True,False,False,,,,True,True,False,True,False,True,False,False,121.181872037915,122733,0.0,,False,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
ICGIN.L,True,False,True,True,False,True,True,False,0,,,True,True,True,True,True,True,False,False,2526.52854977261,2500000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
ICGIN.L,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAES.L,False,False,True,False,True,True,True,False,,,,True,True,True,True,True,True,False,False,488.218606465032,11267109,0.0,,True,False,False,False,True,,False,False,,2,,,,,,,,,,,,,,
DCC.L,False,True,False,True,True,True,True,False,0,,,True,True,True,True,True,True,False,False,,,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
ULVR.L,True,True,True,True,True,True,True,True,,,,True,True,True,True,True,True,True,False,,,0.0,,True,False,True,False,True,1,True,True,,,,2,1,CU,IR,MM,SD,IR,,,,,,
EDV.L,False,False,False,False,False,True,True,False,,,,True,True,True,True,True,True,True,False,3431.60947317545,7100000,0.0,,False,True,False,True,False,,True,False,,,,,,,,,,,,,,,,
LSEG.L,True,False,False,False,True,True,True,False,0,,,True,True,True,True,True,True,False,False,509.592194772646,4269873,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
TSCO.L,True,True,True,False,False,False,True,True,,,,True,True,True,True,True,True,False,False,2228.47962409522,129000000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
LGEN.L,True,False,False,True,True,True,True,False,,,,False,True,True,True,False,True,False,False,188.850869469514,3431798,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
