Instrument,Audit Rotation,Disclosure of Voting Results,Shareholder Director Votes,AGM Date,AGM Notice Filing Date,Exchange Rate to USD,Sales in USD,Shareholder Rights Policy,Policy Equal Voting Right,Policy Shareholder Engagement,Dual Class Stock,Different Voting Right Share,Equal Voting Rights,Equal Shareholder Rights,Voting Cap,Voting Cap Percentage,Minimum Number of Shares to Vote,Director Election Majority Requirement,Shareholders Vote on Executive Pay,Public Availability Corporate Statutes,Veto Power or Golden share,State Owned Enterprise SOE,Anti Takeover Devices Above Two,Poison Pill,Poison Pill Adoption Date,Poison Pill Expiration Date,Unlimited Authorized Capital or Blank Check,Classified Board Structure,Staggered Board Structure,Supermajority Vote Requirement,Golden Parachute,Limited Shareholder Rights to Call Meetings,Elimination of Cumulative Voting Rights,Pre-emptive Rights,Chairman is ex-CEO,Board Member Affiliations,Board Individual Re-election,Board Member Membership Limits,Board Member Term Duration,Executive Compensation Policy,Executive Individual Compensation,Total Senior Executives Compensation,Highest Remuneration Package,CEO Compensation Link to TSR,Executive Compensation LT Objectives,Sustainability Compensation Incentives,Shareholders Approval Stock Compensation Plan,Board Member Compensation,Board Member LT Compensation Incentives,Executive Compensation Controversies,Mgt Compensation Controversies Count,Recent Mgt Compensation Controversies,"Board Cultural Diversity, Percent","Executive Members Gender Diversity, Percent",Chief Diversity Officer,Executives Cultural Diversity,Total Senior Executives Compensation To Revenues in million,Ethnic Minorities Board Percentage,Asian - Ethnic Minorities Board Percentage,Black or African American - Ethnic Minorities Board Percentage,Hispanic or Latino - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,Other - Ethnic Minorities Board Percentage
EXPN.L,True,True,True,,,1,6619000000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,True,True,,False,False,2.0,True,999,1,True,False,19698000.0,,True,False,True,True,2301990.0,0,False,,,36.3636363636364,0.0,,,2975.9782444478,18.18,,,,,
GSK.L,True,True,True,,,1,39254513600.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,2,,,,False,False,False,True,False,,,False,False,1.84615384615385,True,999,1,True,False,14725000.0,13210364.9,True,False,True,True,3362335.0033,0,False,,,58.3333333333333,53.8461538461538,,9.09090909090909,469.307751147374,25.0,17.0,8.0,,75.0,
LAND.L,False,True,True,,,1,975540300.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,False,,,False,False,1.0,True,999,1,True,False,5079000.0,3276878.1,True,False,True,True,1021172.4,0,False,,,,33.3333333333333,,,6420.98609355247,10.0,,,,,
BEZG.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP.L,True,True,True,,,1,189185000000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,5,,,,False,False,False,True,True,True,True,False,False,2.53846153846154,True,999,1,True,False,9064219.5,6700891.6,True,False,True,True,3082710.4,0,False,,,72.7272727272727,50.0,,30.0,47.9119354071412,27.0,,,,,
JD.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABF.L,False,True,True,,,1,26339790600.0,True,True,True,False,False,True,True,False,100,False,True,True,True,True,False,3,,,,False,False,False,True,False,True,,False,False,0.4,True,999,1,True,False,9990000.0,7942746.6,True,False,True,True,1400117.4,0,False,,,,0.0,,,497.683455387834,22.0,,,,78.0,22.0
AAL.L,True,True,True,,,1,27290000000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,True,False,False,,False,,,True,False,3.2,True,999,1,True,False,62517467.0,5493580.1,True,False,True,True,2539733.0,0,False,,,60.0,28.5714285714286,,,2290.85624770978,20.0,,20.0,,80.0,
ADML.L,False,True,True,,,1,5770198310.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,5,,,,False,False,False,True,True,True,,True,False,0.727272727272727,True,9,1,True,False,6565063.0,5153185.8164,True,False,True,False,1758473.5962,0,False,,,,33.3333333333333,,,1423.44333383925,9.09,9.09,,,90.91,
RTO.L,False,True,True,,,1,6800979600.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,False,True,,False,False,2.5,True,999,1,True,False,7000000.0,2389475.89,True,False,True,True,1267114.08,0,False,,,20.0,13.3333333333333,,,1287.71155261222,20.0,,,,,
RMV.L,False,True,True,,,1,487781370.2,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,0,,,,False,False,False,,False,,,False,False,0.666666666666667,True,999,1,True,False,2243000.0,1991751.2,True,False,False,True,844492.5,0,False,,,12.5,33.3333333333333,,,5753.02270943516,34.5,25.0,,,62.5,12.5
SBRY.L,True,True,True,,,1,37915164000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,True,False,False,True,False,True,,False,False,2.3,True,999,1,True,False,21006000.0,5956188.0,True,False,True,True,1196776.0,0,False,,,11.1111111111111,36.3636363636364,,,667.047727922264,11.11111,,,,,
PHNX.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IHG.L,False,True,True,,,1,4923000000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,,True,,False,False,2.27272727272727,True,999,1,True,False,44356499.4,9415778.6,True,False,True,True,1809090.6,,False,,,9.09090909090909,40.0,,,9010.05472273004,30.0,,,,,
BT.L,True,True,True,,,1,25491077700.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,False,True,,False,False,1.92307692307692,True,999,1,True,False,28691000.0,3809663.7,True,False,True,False,2107709.7,0,False,,,,27.2727272727273,,12.5,1388.11747060816,17.0,,,,,
MNDI.L,False,False,False,,,1,7677784800.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,2,,,,False,False,False,True,False,True,,False,False,1.45454545454545,True,999,3,True,False,14675647.1052835,4945596.0057,True,False,True,False,1571042.5519,0,False,,,30.0,37.5,,,1978.91681570705,30.0,10.0,10.0,,70.0,10.0
BATS.L,True,True,True,,,1,32362203700.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,False,True,,False,False,1.25,True,9,1,True,False,32081000.0,7461560.4,True,False,True,True,2400860.9,0,False,,,70.0,13.3333333333333,,76.9230769230769,1240.22886303012,40.0,20.0,10.0,,60.0,10.0
PSON.L,False,True,False,,,1,4443907200.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,False,True,,False,False,1.75,True,999,1,True,False,30000000.0,20430463.0,True,False,True,False,1691487.2,0,False,,,10.0,46.1538461538462,,,8445.94594594595,40.0,10.0,,,60.0,30.0
