Instrument,ESG Score Grade,ESG Combined Score Grade,ESG Score,ESG Combined Score,ESG Controversies Score,Social Pillar Score Grade,Governance Pillar Score Grade,Environmental Pillar Score Grade,Social Pillar Score,Governance Pillar Score,Environmental Pillar Score,Resource Use Score Grade,Emissions Score Grade,Environmental Innovation Score Grade,Workforce Score Grade,Human Rights Score Grade,Community Score Grade,Product Responsibility Score Grade,Management Score Grade,Shareholders Score Grade,CSR Strategy Score Grade,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
LLOY.L,A,B-,85.9944565019716,57.384020703816,28.7735849056604,A-,A,A+,83.2743472646883,85.7357206604195,96.0105612564946,A+,A+,A+,A+,A+,A+,C-,A+,C+,A+,99.2666666666667,95.9171597633136,95.2198852772466,96.4321608040201,94.0,94.8241206030151,27.115987460815,95.7078313253012,43.4487951807229,99.3055555555556
NWG.L,A,B-,83.6675601501418,56.4942739022314,29.320987654321,A-,A,A+,81.2326300887974,83.5270885605427,92.405720446548,A,A,A+,A,A+,B,B+,A+,C-,A+,89.2396907216495,87.5722543352601,94.4055944055944,91.2755102040816,93.1208053691275,62.6020408163265,71.7573221757322,96.9814241486068,32.1207430340557,93.3649289099526
SDR.L,B,B,62.2861778261165,62.2861778261165,68.9655172413793,B-,B,A-,56.0567172802546,62.7451162675393,78.2911608541704,A+,A+,B,B,A,C+,C+,B+,D,A,94.9013157894737,92.2712933753943,66.0550458715596,63.7886597938144,90.546218487395,49.8711340206186,43.1232091690544,71.460843373494,15.2861445783133,90.354938271605
NXT.L,B+,B+,73.8063809924007,73.8063809924007,100.0,B+,A-,A-,67.2525416432897,78.2269200257822,79.5293903681071,A,A-,B+,B+,A+,D+,A+,A-,B+,B+,86.7088607594937,78.2327586206897,72.5,72.1590909090909,92.7927927927928,24.0530303030303,92.9133858267717,82.3042168674699,71.1596385542169,68.4413580246914
ITRK.L,B+,B+,69.984770171748,69.984770171748,100.0,A-,B+,B,76.0106586911723,68.2661397476593,61.4403187183228,B,A-,C,A,A+,B-,B,A-,C-,A-,62.0065789473684,79.6583850931677,39.4308943089431,91.1516853932584,92.7586206896552,51.2640449438202,63.768115942029,77.0123839009288,30.8049535603715,80.7266982622433
BTRW.L,B+,B+,67.256638996516,67.256638996516,100.0,B+,B,B+,67.7614658346853,58.4470154570517,73.4248914270282,A,A-,B-,A+,C+,A+,C,B+,D-,A,91.0493827160494,80.6547619047619,57.3426573426573,95.0867052023121,46.8965517241379,98.5549132947977,40.2941176470588,68.8080495356037,6.42414860681115,84.6761453396525
SHEL.L,A,C+,90.181284600184,46.028142300092,1.875,A+,A,A,92.9667253697231,88.0428920549678,88.2524367635061,A,A+,B+,A,A,A+,A+,A,B+,A+,91.4342629482072,97.2222222222222,74.4318181818182,90.0,90.5286343612335,97.2727272727273,99.4274809160305,91.2538699690403,69.7368421052632,99.4470774091627
GLEN.L,A,C+,89.5421733410979,47.5108126979462,5.47945205479452,A+,A,A,92.6999405368658,87.0909090909091,87.641732419712,A+,A+,D-,A+,A,A+,A+,A+,B,A+,96.77734375,96.4761904761905,0.0,94.1860465116279,91.2587412587413,93.4704830053667,92.6078028747433,92.4242424242424,65.1515151515152,93.3333333333333
VOD.L,A,B+,86.8509337675568,66.8629668837784,46.875,A,A+,A-,86.8743310062805,93.145049333135,78.5800119923152,A,A,B,A,A,B+,A+,A+,A,A+,88.5026737967914,84.4736842105263,60.5042016806723,85.6807511737089,86.8571428571429,67.8403755868545,98.0769230769231,95.105421686747,85.6927710843373,94.5216049382716
BARC.L,A,C+,85.7546255665254,45.0378066104232,4.32098765432099,A-,A,A+,82.6496807800417,87.3558431437762,92.4463914435088,A+,A-,A+,A,A+,A-,B+,A+,B,A+,97.229381443299,79.8265895953757,94.4055944055944,85.5612244897959,93.1208053691275,77.6020408163265,71.7573221757322,93.7306501547988,59.5201238390093,97.2353870458136
