Instrument,ESG Score Grade,ESG Combined Score Grade,ESG Score,ESG Combined Score,ESG Controversies Score,Social Pillar Score Grade,Governance Pillar Score Grade,Environmental Pillar Score Grade,Social Pillar Score,Governance Pillar Score,Environmental Pillar Score,Resource Use Score Grade,Emissions Score Grade,Environmental Innovation Score Grade,Workforce Score Grade,Human Rights Score Grade,Community Score Grade,Product Responsibility Score Grade,Management Score Grade,Shareholders Score Grade,CSR Strategy Score Grade,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
AUTOA.L,B+,B+,73.4599524476227,73.4599524476227,100.0,B+,A-,B,68.0743668864191,80.6732524154127,64.8742444436292,B+,A,B-,A+,C,A+,C-,A+,C+,B,68.5384615384615,83.5470085470085,52.7896995708155,96.9424460431655,33.5,95.0239808153477,32.4691358024691,95.839874411303,43.2496075353218,60.9756097560976
AV.L,B+,C+,73.2173217496377,45.1192991726912,17.0212765957447,B+,B+,A+,69.0141190625125,71.7683822510462,92.2753496503497,A+,A+,A,A-,A-,A-,C-,A-,C-,A+,94.375,94.8863636363637,90.7051282051282,76.2798634812287,82.7830188679245,81.3993174061433,33.2155477031802,79.3343653250774,28.0959752321982,99.4470774091627
ENT.L,A-,B-,77.2658162878882,53.7122732233092,30.1587301587302,A,A-,B,84.8926620418168,82.0,59.2942025734384,B-,B+,D-,A-,A+,B+,A+,A,B+,B,57.8467153284672,70.7446808510638,0.0,80.8681672025724,94.3231441048035,66.7202572347267,92.809364548495,90.0,70.0,60.0
DGE.L,A-,B-,76.350958410316,52.3421458718247,28.3333333333333,A,B,B+,84.0318100134948,63.9515088086517,74.9136391864617,A-,A+,D-,A+,B,A,A+,B,B-,A+,80.9734513274336,93.4210526315789,0.0,96.9827586206897,61.1650485436893,90.0862068965517,96.9298245614035,60.5180533751962,55.8084772370487,93.3333333333333
GAW.L,C,C,41.1639547997049,41.1639547997049,100.0,C-,B,C-,27.6348157006505,65.1640183277814,26.7509881422925,B-,C+,D-,B-,D+,D,C,B,A+,C,51.0869565217391,47.0,0.0,50.8928571428571,20.4081632653061,9.82142857142857,33.6363636363636,60.0470957613815,98.5086342229199,40.7317073170732
INF.L,B+,B+,74.5325800653127,74.5325800653127,100.0,A-,B+,A-,77.8575572638582,68.8033847685415,76.647741952244,A+,A,C,A+,A-,A+,C-,B+,B,A-,98.1727574750831,84.6749226006192,38.5826771653543,95.3125,82.2413793103448,95.5965909090909,25.0724637681159,67.7394034536892,65.6985871271586,78.780487804878
UU.L,B+,C+,70.3507990950255,47.6753995475127,25.0,A-,C+,A-,75.9482453030841,43.5196380040334,82.1644042232277,A,B,A+,A,A,B-,B+,C+,C,B,91.025641025641,65.3846153846154,91.6666666666667,88.4615384615385,83.3333333333333,52.5641025641026,75.0,42.4922600619195,33.5139318885449,63.6650868878357
PSHP.L,C+,C+,43.9488599705462,43.9488599705462,100.0,B,C,D,59.489809389695,39.1949910554562,10.3030303030303,D-,D-,C-,B+,C-,B,C+,B-,D-,D-,0.0,0.0,30.9090909090909,66.8269230769231,27.1739130434783,66.3461538461538,50.0,56.9767441860465,3.48837209302326,3.84615384615385
HLN.L,B-,B-,56.2608173043503,56.2608173043503,100.0,B-,B+,C,54.5947261434867,70.8065585208442,39.8210074808912,C+,C+,D-,B+,B-,A,D,B+,C+,A+,46.9230769230769,45.203488372093,0.0,69.2941176470588,51.9503546099291,83.6470588235294,9.32203389830508,74.3328100470958,44.0345368916798,93.3333333333333
WTB.L,A-,A-,79.4826279089678,79.4826279089678,81.5789473684211,A-,A-,A-,79.0736214938343,78.7382518796992,80.9913897444886,A+,A-,D-,B,B+,A+,A-,A-,A,A-,94.0613026819924,80.3308823529412,0.0,60.9797297297297,71.875,94.0878378378378,82.9787234042553,77.0559210526316,84.4572368421053,78.5714285714286
