Instrument,ESG Score Grade,ESG Combined Score Grade,ESG Score,ESG Combined Score,ESG Controversies Score,Social Pillar Score Grade,Governance Pillar Score Grade,Environmental Pillar Score Grade,Social Pillar Score,Governance Pillar Score,Environmental Pillar Score,Resource Use Score Grade,Emissions Score Grade,Environmental Innovation Score Grade,Workforce Score Grade,Human Rights Score Grade,Community Score Grade,Product Responsibility Score Grade,Management Score Grade,Shareholders Score Grade,CSR Strategy Score Grade,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
ADML.L,B-,B-,56.0080358777221,56.0080358777221,100.0,C,B+,B+,39.0881873349577,71.9396051103368,67.432798079553,B+,A-,B,B,C-,D+,C-,A+,D,B,68.6721991701245,82.4528301886792,62.012987012987,65.1360544217687,27.5700934579439,22.2789115646259,32.9225352112676,92.2291993720565,11.6169544740973,60.9756097560976
RTO.L,B+,C+,72.6376853686965,42.4509181560463,12.2641509433962,A-,B+,B-,82.3396852710008,74.6878278515909,51.9989105714665,B+,C,C,A,B,A,A+,A-,A+,C,74.9169435215947,37.3065015479876,38.5826771653543,85.6534090909091,66.2068965517241,88.2102272727273,96.6666666666667,75.74568288854,93.7990580847724,40.7317073170732
RMV.L,B,B,60.2747430001061,60.2747430001061,100.0,C+,B,B+,49.7854831546948,65.8547561613764,71.782759796589,A,A,B-,A,C+,C+,C-,B,A+,C,84.2307692307692,91.0968660968661,52.7896995708155,90.5875299760192,47.8333333333333,44.9040767386091,32.4691358024691,62.87284144427,92.5431711145997,40.7317073170732
SBRY.L,A-,A-,76.8300262287417,76.8300262287417,100.0,B+,A-,A,67.6682559505368,81.9922902228157,88.6371133878489,A,A+,A-,A-,B+,D+,A,A+,B-,B,89.453125,93.4108527131783,76.8292682926829,77.1739130434783,67.2727272727273,20.6521739130435,90.8396946564885,93.4210526315789,56.1145510835913,63.6650868878357
PHNX.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IHG.L,A-,B,75.8759316508361,60.3405632280154,44.8051948051948,A-,B,A-,79.2659296356269,64.1984658779084,83.2008969794377,A+,B+,B+,B,A+,A,A-,B-,A,A-,93.5424354243542,73.7676056338028,72.5806451612903,61.0032362459547,93.5344827586207,90.1294498381877,76.0204081632653,53.2967032967033,90.8163265306122,78.780487804878
BT.L,B+,C+,67.6014110148107,42.9353208920207,18.2692307692308,B+,B-,A-,70.0113339989779,52.0926200362909,81.526049991979,A,A+,B-,A-,B,B-,A-,C,A,A+,90.979381443299,92.713567839196,57.9365079365079,78.4722222222222,64.1666666666667,56.712962962963,75.1196172248804,34.1331269349845,84.4427244582043,93.3649289099526
MNDI.L,A-,A-,82.6991840448991,82.6991840448991,100.0,A,A-,A-,85.2192256774926,82.2769928484214,80.1896975138304,B-,A+,A+,A+,A,B+,A+,A-,A-,A+,57.8651685393258,94.9438202247191,93.9189189189189,92.8571428571429,85.0574712643678,69.7802197802198,92.6966292134831,82.0251177394035,75.74568288854,93.3333333333333
BATS.L,A,C+,89.278043945265,47.8366963912372,6.3953488372093,A,A,A,91.0298927885107,85.0880524817807,90.3354857289909,A+,A,A,A+,A,B+,A+,A+,B-,A-,94.2542787286064,87.7427184466019,83.7053571428571,99.8842592592593,91.5549597855228,69.0255220417633,97.6829268292683,96.7817896389325,50.3139717425432,78.780487804878
PSON.L,B+,B,72.3493540602562,61.1746770301281,50.0,B+,B+,A-,71.680123658847,70.0844235129949,81.7876057876058,A+,A+,C+,A,A+,A,C-,B-,A+,A+,99.7297297297297,92.1717171717172,50.0,88.2222222222222,95.0354609929078,83.7777777777778,32.9326923076923,58.320251177394,93.7990580847724,93.3333333333333
