Instrument,ESG Score Grade,ESG Combined Score Grade,ESG Score,ESG Combined Score,ESG Controversies Score,Social Pillar Score Grade,Governance Pillar Score Grade,Environmental Pillar Score Grade,Social Pillar Score,Governance Pillar Score,Environmental Pillar Score,Resource Use Score Grade,Emissions Score Grade,Environmental Innovation Score Grade,Workforce Score Grade,Human Rights Score Grade,Community Score Grade,Product Responsibility Score Grade,Management Score Grade,Shareholders Score Grade,CSR Strategy Score Grade,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
PCG.N,A-,C,75.2865181873597,38.730215615419,2.17391304347826,A,B-,A-,84.7287503025208,52.4171763902257,81.5185417446683,A,A+,B-,A,A-,A-,A,C+,C-,A+,85.6807511737089,98.8636363636363,54.8309178743961,87.2294372294372,78.9617486338798,82.034632034632,90.6565656565657,49.8489882210812,30.7913017215343,97.6969292389853
RL.N,B+,B+,69.6532555469255,69.6532555469255,100.0,B+,B,A-,69.2894324897125,66.4110568848669,75.8352628909819,A-,B,A-,B+,C,A-,A+,A-,D-,A,80.2884615384615,64.3617021276596,79.5774647887324,74.537037037037,34.1836734693878,76.3888888888889,98.5294117647059,81.4406523708849,0.951374207188161,89.452603471295
JPM.N,A,B-,85.5308268228804,51.7770413184169,18.0232558139535,A,A,A-,85.4646042644695,87.0550162725777,81.9484531220525,A+,B+,A-,A-,A+,A,B+,A+,C+,A+,98.0263157894737,73.7719298245614,79.9731182795699,82.7726218097448,94.8648648648649,90.1972157772622,74.6296296296296,98.6257928118393,45.1072183630323,92.1228304405875
TTWO.OQ,C,C,36.2733479245961,36.2733479245961,100.0,B-,C,D-,50.1045593604374,35.2451424544448,0.0,D-,D-,D-,C,C+,B+,C,C-,B+,D-,0.0,0.0,0.0,40.9558823529412,43.0167597765363,68.6764705882353,34.2592592592593,30.8819087888855,73.2860163092721,0.0
CDW.OQ,B-,B-,55.2637170690987,55.2637170690987,100.0,B-,A-,C-,54.5755451713395,79.6869116538754,27.4285714285714,B+,B,D-,B+,C,A+,C+,A,B+,B-,75.0,64.2857142857143,0.0,68.75,33.3333333333333,93.75,43.75,86.4240410752039,72.6819691935971,56.5086782376502
RMD.N,B+,B+,70.2114027544499,70.2114027544499,100.0,A-,B-,A-,81.2239166598494,52.2324951334312,77.6666119949702,A+,A,C+,A-,A-,A+,B+,C+,B+,B-,98.7562189054726,88.4615384615385,50.0,79.2604501607717,79.6875,91.8006430868167,74.9174917491749,46.3770207852194,68.2592378752887,57.4697527617044
LNT.OQ,B,B,59.2427943063707,59.2427943063707,100.0,C,B-,A-,37.5180375180375,51.0261179811278,80.6891826299448,B+,A+,B+,C,D-,B,C+,B,D,B-,73.943661971831,93.4090909090909,72.2222222222222,35.2813852813853,0.0,63.8528138528139,49.2424242424242,62.1111446692842,13.8477801268499,51.3684913217623
COO.OQ,B,B,59.5522774256141,59.5522774256141,100.0,B,B+,C+,58.882259275319,66.9645281098761,45.5592914548139,B+,B+,D-,B+,C,A,C+,B+,A,D+,73.8805970149254,68.4615384615385,0.0,73.1511254019293,37.2395833333333,84.2443729903537,46.8646864686469,70.8862586605081,83.4728637413395,22.5933719095213
CMG.N,B-,B-,57.7884961098063,57.7884961098063,64.2857142857143,A-,C+,C+,75.3848180478615,45.6058771338058,41.9975361863816,C,C+,B,B-,A-,B+,A,C+,C+,B,37.8712871287129,42.4311926605505,66.2162162162162,52.3166023166023,81.3664596273292,71.4285714285714,86.4583333333333,43.4762911507097,42.721232256116,60.5807743658211
PCAR.OQ,B+,B+,67.6622419624105,67.6622419624105,100.0,C+,B+,A-,49.0095243185035,73.4898304622278,83.1857393420169,B+,A,A,D+,C+,A,C,A-,B-,B,70.5250596658711,86.319612590799,87.0320855614973,22.8601252609603,42.3684210526316,90.2922755741127,35.7303370786517,81.6822712171549,53.5638779824826,62.4165554072096
