Instrument,Corruption Due Diligence,Corruption Intermediaries Procedures,Corruption Oversight,Corruption Procedures for High Risk Operations,Corruption Risk Assessment,Corruption Training,Principles for Community Investments,Supplier Policy Animal Welfare,Corruption Fines,Lobbying Controversies,Recent Lobbying Controversies,Policy Fair Competition,Policy Bribery and Corruption,Policy Business Ethics,Policy Community Involvement,Improvement Tools Business Ethics,Whistleblower Protection,OECD Guidelines for Multinational Enterprises,Extractive Industries Transparency Initiative,Total Donations To Revenues in million,Donations Total,Political Contributions,Lobbying Contribution Amount,Employee Engagement Voluntary Work,Corporate Responsibility Awards,Product Sales at Discount to Emerging Markets,Diseases of the Developing World,"Bribery, Corruption and Fraud Controversies",Intellectual Property Controversies,Crisis Management Systems,Anti-competition Controversies,Public Health Controversies,Business Ethics Controversies,Tax Fraud Controversies,Anti-Competition Controversies Count,Critical Countries Controversies,Critical Country 1,Critical Country 2,Critical Country 3,Critical Country 4,Critical Country 5,Recent Public Health Controversies,Recent Business Ethics Controversies,Recent Tax Fraud Controversies,Recent Anti-Competition Controversy,Recent Critical Countries Controversies,Recent Intellectual Property Controversies
NTAP.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,522.284122562674,3000000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
OXY.N,False,False,False,False,False,False,True,False,,,,True,True,True,True,True,True,False,False,861.342929331598,22500000,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
IR.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,329.943327381414,1700000,841191.0,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
TER.OQ,,,,,,,,,,,,True,True,True,True,True,True,True,False,,,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
WAB.N,,,,,,,,,,,,True,True,True,True,True,True,True,False,,,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
NOW.N,False,False,False,False,False,False,True,False,,,,True,True,True,True,True,True,False,False,1721.80071234735,10151737,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
EXC.OQ,,,,,,,,,,,,False,True,True,True,True,True,False,False,1750.47385438733,31400000,19054995.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
BR.N,False,False,False,False,False,True,True,False,,,,True,True,True,True,True,True,False,False,547.317440577324,3124690,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
EMN.N,False,False,False,False,True,True,True,False,,,,True,True,True,True,True,True,False,False,210.003818251241,2200000,92000.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
AZO.N,False,True,False,False,False,False,True,False,,,,True,True,True,True,True,True,False,False,,,,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
