Instrument,Environmental Data Assurance Standard,Policy Resource Efficiency,Targets Resource Use,Facilities Water Withdrawal,Water Incidents,Water Management Plan Details,Water Stressed Targets,Water Use Target,Supplier Environmental Commitment,Supplier Environmental Due Diligence,Supplier Environmental Policy Communication,Supplier Environmental Policy Training,Supplier Environmental Risk Assessment,Target Sustainable Palm Oil Supply Chain,Total Water Usage Properties,Water Stressed Sites,Water Stressed Sites Percent,Water Withdrawal in Stressed Regions,Water Withdrawal in Stressed Regions Percent,Certified Palm Oil Percent Supply Chain,Electricity Produced from Nuclear,Electricity Produced from Coal,Electricity Produced from Oil,Electricity Produced from Gas,Electricity Produced from Combined Cycle Gas Turbine,Electricity Produced from Biomass,Electricity Produced from Hydro,Electricity Produced from Geothermal,Electricity Produced from Solar,Electricity Produced from Wind,Electricity Produced from Other Renewables,Renewable Electricity Produced Without Bifurcation,Total Energy Use from Properties,Energy Consumption External Assurance,Energy Consumption International Assurance Standard,Deforestation Controversies Count,Recent Deforestation Controversies Count,Water and Marine Resource Controversies Count,Recent Water and Marine Resource Controversies Count,Extraction Virgin Natural Resources ControversiesCount,Recent Extraction Virgin Natural Resources ControversiesCount,Exposure To Supply Risk ControversiesCount,Recent Exposure To Supply Risk ControversiesCount,ResourceUse Controversies count,Recent ResourceUse Controversies count,Biodiversity and Ecosystem Controversies Count,Recent Biodiversity and Ecosystem Controversies Count,Total Energy Use To EVIC USD in million,Water Use To EVIC USD in million,Electricity Purchased Per Tonne of Aluminum Production,Electricity Purchased Per Tonne of Chlorine Production,Resource Reduction Policy,Policy Water Efficiency,Policy Sustainable Packaging,Policy Environmental Supply Chain,Resource Reduction Targets,Targets Water Efficiency,Environment Management Team,Environment Management Training,Environmental Materials Sourcing,Toxic Chemicals Reduction,Total Energy Use To Revenues USD in million,Renewable Energy Use Ratio,Renewable Energy Supply,Energy Use Total,Energy Purchased Direct,Electricity Purchased,Electricity Produced,Cement Energy Use,Renewable Energy Purchased,Renewable Energy Produced,Renewable Energy Use,Green Buildings,Water Use To Revenues USD in million,Water Withdrawal Total,Fresh Water Withdrawal Total,Water Recycled,Environmental Supply Chain Management,Environmental Supply Chain Monitoring,Env Supply Chain Partnership Termination,Land Environmental Impact Reduction,Environmental Controversies,Environmental Controversies Count,Recent Environmental Controversies,Total Renewable Energy,Total Renewable Energy To Energy Use in million,Grid Loss Percentage,Coal Produced (Raw Material in Tonnes) Total
NXT.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.65467644565,22.487989117265,,,True,True,True,True,True,False,False,True,True,True,175.152466177938,,,977085.076,977085.076,811310.537,,,,,True,True,63.8852878701549,356383.0,,,True,True,True,False,False,,,,,,
ITRK.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.3616594741548,,,,True,True,False,True,False,False,True,False,False,False,337.611145217575,,,1272654.0,,,,,,,True,False,,,,,True,,True,False,False,,,41076.0,32275.8581672631,,
BTRW.L,False,True,False,False,False,False,False,False,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,50.4423809720528,,,,True,True,True,True,True,True,True,True,True,False,76.8061674792449,0.154073760963754,,511002.0,511002.0,92091.6,,,78732.0,,True,False,,,,,True,True,False,False,False,,,78732.0,154073.760963754,,
SHEL.L,False,True,True,True,False,True,True,True,True,True,True,False,False,False,,4,,22000000,13.25,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,4696.518333781,909.923019850194,,,True,True,True,True,True,True,True,True,True,False,3276.43171806167,0.009243697478992,,856800000.0,72000000.0,32400000.0,,,7920000.0,18000.0,True,False,634.789525208027,166000000.0,166000000.0,,True,True,True,True,True,9,,7938000.0,9264.70588235294,,
SHEL.L,,,,,,,,,,,,,,,,,,,13.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHEL.L,,,,,,,,,,,,,,,,,,,13.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLEN.L,True,True,False,True,True,True,False,False,False,False,False,False,False,False,,,32,120000000,11.61665,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,2347.03152343985,13469.3531317409,,,True,True,False,True,True,True,True,True,True,False,1264.59554019306,0.072722222222222,,180000000.0,168670000.0,77000000.0,11330000.0,,13090000.0,11330000.0,True,False,7257.3732945524,1033000000.0,766000000.0,521000000.0,True,True,True,True,True,1,,24420000.0,135666.666666667,,106000000
VOD.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.635181239376,7.63728611494406,,,True,True,False,True,True,True,True,True,True,False,427.919742291093,0.219640434192673,,21225600.0,21204000.0,20167200.0,21600.0,,4662000.0,21600.0,True,True,18.7141301249632,928255.0,928255.0,,True,True,True,False,False,,,4683600.0,220658.073270014,,
BARC.L,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,309.6,,,,,True,True,,,,,,,,,,,,,5.81926911922596,1.66343385578774,,,True,True,False,True,True,True,True,True,False,False,60.1057809234307,0.818270221418888,,1991700.0,1991390.4,1703815.2,309.6,,1629748.8,309.6,True,True,17.1811938695652,569326.0,569326.0,506700.14,True,True,False,False,True,1,,1630058.4,818425.666516042,,
FCIT.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,False,False,,,,,False,,False,False,False,,,,,,
UTG.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,False,False,True,True,False,,,,,752366.916,509963.5044,,,377372.99,,True,False,,,,,True,,False,False,False,,,377372.99,,,
DPLM.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,7.78245931896945,,,,True,False,True,False,False,False,False,False,False,False,40.1884898343783,,,27944.8092,27944.8092,,,,,,False,False,,,,,False,,False,False,False,,,,,,
ICGIN.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,0.815406285830751,0.98073201027567,,,True,False,False,False,False,False,False,True,False,False,13.4708663834756,,,6423.5988,6423.5988,5285.4372,,,,,False,True,16.2021192355183,7726.0,,,False,,False,False,False,,,,,,
BAES.L,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,180.200784007362,507.051665919735,,,True,True,False,True,False,False,False,True,True,False,221.453013131875,,,5848565.418,5839615.426,2714915.7252,8949.9924,,,8949.9924,True,True,623.127806296752,16456781.0,4740000.0,951847.0,True,True,False,False,False,,,8949.992,1530.28843149378,,
DCC.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.153529793015,,,,True,False,False,True,False,False,False,False,True,False,77.4971814698878,,,1420000.0,1420000.0,234016.0,,,,,False,False,,,,,True,,False,False,False,,,,,,
ULVR.L,False,True,True,False,False,False,True,False,True,True,True,True,True,True,,,,,,100.0,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,145.353151605218,172.807005825857,,,True,True,True,True,True,False,True,True,True,True,422.838601985075,,,25208935.2,,,,,,,True,True,502.703050808903,29970321.0,,,True,True,False,False,False,,,12780843.0,506996.543035265,,
EDV.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300.09020112274,3962.86095517261,,,True,True,False,True,True,True,True,True,False,False,4322.64517941156,,,6155879.0,808437.0,808437.0,,,,,True,False,13176.0410083562,18764000.0,18764000.0,17600000.0,True,True,True,True,False,,,,,,
LSEG.L,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,14.2509886471676,2.84660898971776,,,True,True,False,True,False,False,True,True,True,False,106.578437896704,0.920800397380212,,942281.445,942281.4447,867653.1288,,,867653.129,,True,True,21.2888485801392,188219.0,188219.0,,True,,True,False,False,,,867653.129,920800.397380212,,
TSCO.L,True,True,True,False,False,False,False,False,True,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,445.386843898144,445.544758496092,,,True,True,True,True,False,False,False,False,True,True,284.015285142662,0.406625132958517,,23691600.0,23691600.0,9633600.0,,,9633600.0,,True,True,284.115984478933,23700000.0,,,True,True,False,False,False,,,9633600.0,406625.132958517,,
LGEN.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.51261819776728,0.211949326551883,,,True,False,False,True,True,True,True,False,True,False,8.58606803076109,0.476032922382358,,518310.0,518310.0,286898.4,,,246732.624,,True,False,0.330117427248185,19928.0,19928.0,,True,True,False,False,False,,,246732.624,476032.922382358,,
